회원ID,나이,성별,거주지,테니스_경험_연수,주_이용_시간대,선호_코치_스타일,선호_레슨_방식,경기_빈도,최근_경기_성적,선호_훈련_목표,선호_테니스_센터_유형,모바일_앱_사용_빈도,소비_성향
M107,28,M,광주 북구,3-5년,평일 저녁,동기부여 중심,1:1,월 1회 미만,,대회 준비,접근성,매일,10-30만 원
M108,38,M,서울 서초구,3-5년,평일 저녁,친절한 지도,1:1,주 2회,1승 1패,취미 유지,접근성,주 1회 미만,10만 원 미만
M109,20,M,서울 강남구,3-5년,평일 저녁,엄격한 피드백,1:1,월 2-3회,,취미 유지,실내 코트,미사용,10-30만 원
M110,35,M,서울 강남구,3-5년,평일 오후,미입력,그룹,주 1회,2승 0패,대회 준비,미입력,주 1-2회,10-30만 원
M111,43,M,부산 남구,3-5년,평일 오후,동기부여 중심,그룹,주 2회,1승 1패,취미 유지,시설 완비,주 1회 미만,10만 원 미만
M112,26,F,대구 달서구,5년 이상,평일 오후,친절한 지도,1:1,주 2회,3승 3패,체력 증진,미입력,주 1-2회,10만 원 미만
M113,32,F,경기 용인시,1-3년,주말 오전,엄격한 피드백,온라인,월 2-3회,2승 3패,실력 향상,미입력,주 1-2회,30만 원 이상
M114,38,M,서울 서초구,0-1년,주말 오전,동기부여 중심,온라인,월 1회 미만,1승 3패,체력 증진,야외 코트,주 1-2회,10-30만 원
M115,18,F,인천 남동구,0-1년,주말 오전,동기부여 중심,그룹,월 1회 미만,3승 0패,취미 유지,야외 코트,미사용,10만 원 미만
M116,40,F,서울 마포구,0-1년,주말 오전,엄격한 피드백,그룹,월 2-3회,,취미 유지,야외 코트,주 1-2회,10-30만 원
M117,29,F,대구 수성구,0-1년,주말 저녁,친절한 지도,1:1,월 1회 미만,,실력 향상,접근성,주 1회 미만,10만 원 미만
M118,24,M,대전 서구,1-3년,평일 오전,미입력,1:1,월 2-3회,2승 0패,대회 준비,시설 완비,매일,10만 원 미만
M119,40,F,대전 유성구,1-3년,평일 오후,친절한 지도,그룹,주 1회,0승 0패,실력 향상,미입력,주 1회 미만,10-30만 원
M120,34,F,서울 송파구,0-1년,주말 오전,친절한 지도,온라인,주 2회,2승 3패,대회 준비,실내 코트,주 1회 미만,30만 원 이상
M121,28,F,서울 서초구,0-1년,평일 오후,엄격한 피드백,그룹,주 2회,,대회 준비,실내 코트,미사용,10-30만 원
M122,23,M,서울 서초구,5년 이상,평일 오후,엄격한 피드백,온라인,주 2회,,실력 향상,시설 완비,주 1회 미만,10-30만 원
M123,18,F,경기 성남시,1-3년,주말 오전,동기부여 중심,온라인,주 1회,2승 3패,실력 향상,야외 코트,주 1-2회,10만 원 미만
M124,23,기타,서울 강남구,1-3년,주말 저녁,엄격한 피드백,1:1,월 2-3회,1승 0패,취미 유지,실내 코트,주 1회 미만,10만 원 미만
M125,48,기타,인천 연수구,3-5년,주말 저녁,엄격한 피드백,그룹,주 2회,3승 3패,체력 증진,실내 코트,미사용,10-30만 원
M126,21,M,서울 서초구,3-5년,평일 오전,친절한 지도,1:1,월 1회 미만,,실력 향상,실내 코트,매일,10만 원 미만
M127,28,F,서울 송파구,5년 이상,주말 저녁,친절한 지도,1:1,주 2회,3승 0패,체력 증진,시설 완비,주 1-2회,10-30만 원
M128,44,M,인천 남동구,1-3년,주말 저녁,친절한 지도,1:1,월 2-3회,1승 1패,체력 증진,접근성,주 1회 미만,10만 원 미만
M129,18,F,서울 강남구,1-3년,평일 저녁,엄격한 피드백,그룹,주 1회,1승 2패,대회 준비,실내 코트,주 1-2회,10-30만 원
M130,30,M,서울 강남구,1-3년,주말 저녁,동기부여 중심,온라인,월 1회 미만,1승 2패,실력 향상,시설 완비,매일,10만 원 미만
M131,42,F,광주 광산구,0-1년,주말 오전,동기부여 중심,그룹,월 1회 미만,1승 2패,실력 향상,접근성,주 1-2회,10만 원 미만
M132,23,F,광주 북구,5년 이상,주말 저녁,친절한 지도,1:1,주 2회,0승 2패,실력 향상,실내 코트,주 1회 미만,10-30만 원
M133,35,M,인천 남동구,1-3년,주말 오전,엄격한 피드백,그룹,주 1회,3승 3패,취미 유지,미입력,미사용,10만 원 미만
M134,38,M,대전 유성구,3-5년,평일 오전,친절한 지도,그룹,월 1회 미만,2승 0패,취미 유지,미입력,주 1회 미만,10만 원 미만
M135,28,M,서울 강남구,5년 이상,평일 저녁,엄격한 피드백,1:1,주 1회,,대회 준비,실내 코트,미사용,30만 원 이상
M136,56,F,서울 강남구,1-3년,주말 오전,엄격한 피드백,1:1,월 1회 미만,2승 3패,체력 증진,시설 완비,미사용,10-30만 원
M137,54,M,인천 연수구,0-1년,평일 오후,미입력,온라인,월 2-3회,3승 2패,대회 준비,야외 코트,미사용,30만 원 이상
M138,44,M,대구 수성구,1-3년,평일 저녁,엄격한 피드백,1:1,월 2-3회,0승 2패,실력 향상,접근성,주 1회 미만,10-30만 원
M139,33,F,경기 용인시,3-5년,평일 오후,동기부여 중심,1:1,주 2회,,체력 증진,미입력,매일,30만 원 이상
M140,35,M,부산 수영구,0-1년,주말 오전,친절한 지도,1:1,주 1회,3승 0패,체력 증진,실내 코트,주 1회 미만,10만 원 미만
M141,29,M,서울 강남구,5년 이상,평일 오전,동기부여 중심,그룹,주 1회,0승 0패,실력 향상,실내 코트,매일,10만 원 미만
M142,30,M,서울 마포구,0-1년,주말 오전,친절한 지도,1:1,월 2-3회,0승 1패,취미 유지,실내 코트,주 1회 미만,10-30만 원
M143,39,M,서울 강남구,0-1년,주말 오전,동기부여 중심,1:1,월 1회 미만,,실력 향상,시설 완비,주 1-2회,10-30만 원
M144,24,M,서울 마포구,0-1년,평일 오후,친절한 지도,1:1,월 1회 미만,1승 0패,체력 증진,야외 코트,미사용,10-30만 원
M145,35,M,강원 원주시,0-1년,주말 저녁,엄격한 피드백,온라인,주 2회,,체력 증진,실내 코트,주 1회 미만,10-30만 원
M146,23,F,서울 마포구,3-5년,주말 오전,엄격한 피드백,온라인,월 2-3회,3승 2패,취미 유지,접근성,매일,30만 원 이상
M147,18,M,서울 강남구,3-5년,평일 저녁,동기부여 중심,1:1,월 2-3회,0승 2패,취미 유지,접근성,매일,30만 원 이상
M148,18,F,대구 수성구,1-3년,주말 오전,엄격한 피드백,그룹,주 2회,,실력 향상,시설 완비,미사용,30만 원 이상
M149,43,기타,경기 용인시,5년 이상,평일 오후,동기부여 중심,1:1,월 2-3회,0승 1패,실력 향상,실내 코트,매일,10-30만 원
M150,36,F,대구 수성구,0-1년,주말 저녁,친절한 지도,1:1,주 1회,0승 3패,체력 증진,시설 완비,미사용,10만 원 미만
M151,33,F,대구 수성구,3-5년,평일 오전,엄격한 피드백,온라인,월 1회 미만,,대회 준비,미입력,미사용,30만 원 이상
M152,18,F,경기 용인시,5년 이상,주말 오전,동기부여 중심,그룹,월 2-3회,1승 0패,취미 유지,야외 코트,미사용,10만 원 미만
M153,31,M,대구 수성구,1-3년,주말 저녁,친절한 지도,온라인,주 1회,0승 3패,실력 향상,야외 코트,매일,10만 원 미만
M154,39,M,서울 마포구,1-3년,평일 오전,친절한 지도,그룹,월 2-3회,,대회 준비,실내 코트,주 1-2회,10만 원 미만
M155,32,M,서울 송파구,0-1년,평일 오전,친절한 지도,1:1,월 1회 미만,,취미 유지,시설 완비,매일,10만 원 미만
M156,39,M,부산 남구,1-3년,평일 오후,엄격한 피드백,그룹,월 2-3회,3승 1패,취미 유지,시설 완비,미사용,10만 원 미만
M157,28,F,서울 마포구,3-5년,평일 오전,엄격한 피드백,온라인,주 2회,1승 2패,실력 향상,야외 코트,미사용,10만 원 미만
M158,18,F,서울 서초구,5년 이상,평일 오전,친절한 지도,온라인,주 1회,2승 0패,대회 준비,시설 완비,주 1회 미만,10-30만 원
M159,33,M,서울 영등포구,0-1년,주말 오전,엄격한 피드백,1:1,월 1회 미만,1승 3패,체력 증진,실내 코트,미사용,30만 원 이상
M160,30,M,대구 달서구,3-5년,주말 저녁,미입력,1:1,월 2-3회,1승 1패,취미 유지,접근성,주 1회 미만,30만 원 이상
M161,18,F,대전 유성구,0-1년,주말 오전,동기부여 중심,1:1,주 2회,2승 1패,취미 유지,접근성,주 1-2회,10-30만 원
M162,36,F,부산 해운대구,5년 이상,평일 오전,친절한 지도,그룹,월 2-3회,1승 1패,대회 준비,접근성,매일,30만 원 이상
M163,40,M,대구 수성구,0-1년,주말 오전,친절한 지도,그룹,월 1회 미만,1승 3패,대회 준비,접근성,매일,10-30만 원
M164,47,F,서울 강남구,5년 이상,주말 저녁,동기부여 중심,1:1,월 1회 미만,3승 3패,실력 향상,실내 코트,매일,10-30만 원
M165,27,M,대전 서구,5년 이상,평일 저녁,친절한 지도,그룹,주 1회,0승 1패,체력 증진,야외 코트,미사용,10만 원 미만
M166,26,M,서울 강남구,0-1년,평일 저녁,친절한 지도,1:1,주 2회,0승 0패,실력 향상,시설 완비,매일,10만 원 미만
M167,23,F,광주 광산구,1-3년,평일 오전,엄격한 피드백,1:1,주 2회,0승 1패,체력 증진,미입력,주 1-2회,30만 원 이상
M168,37,F,대전 유성구,3-5년,평일 오후,친절한 지도,온라인,월 2-3회,3승 0패,체력 증진,접근성,주 1회 미만,10만 원 미만
M169,41,F,광주 북구,0-1년,주말 저녁,친절한 지도,1:1,주 2회,1승 0패,대회 준비,야외 코트,주 1-2회,10만 원 미만
M170,37,F,부산 수영구,3-5년,평일 오전,친절한 지도,1:1,월 1회 미만,3승 3패,취미 유지,실내 코트,매일,10만 원 미만
M171,45,F,서울 마포구,1-3년,평일 오후,엄격한 피드백,온라인,주 1회,,취미 유지,야외 코트,주 1회 미만,10만 원 미만
M172,19,M,서울 영등포구,0-1년,주말 저녁,미입력,1:1,주 1회,2승 1패,체력 증진,야외 코트,미사용,10만 원 미만
M173,37,F,서울 송파구,1-3년,평일 저녁,친절한 지도,그룹,월 2-3회,,체력 증진,시설 완비,미사용,30만 원 이상
M174,44,M,서울 강남구,5년 이상,평일 오전,동기부여 중심,1:1,월 1회 미만,3승 2패,취미 유지,실내 코트,미사용,30만 원 이상
M175,27,M,인천 연수구,3-5년,평일 오후,친절한 지도,1:1,월 1회 미만,,실력 향상,야외 코트,주 1-2회,30만 원 이상
M176,24,M,대구 수성구,3-5년,평일 오후,친절한 지도,온라인,월 1회 미만,1승 1패,취미 유지,실내 코트,주 1-2회,30만 원 이상
M177,20,M,서울 마포구,1-3년,평일 저녁,친절한 지도,1:1,월 1회 미만,3승 1패,체력 증진,접근성,매일,10만 원 미만
M178,48,F,부산 해운대구,0-1년,평일 오후,친절한 지도,그룹,월 2-3회,,실력 향상,접근성,매일,30만 원 이상
M179,32,M,서울 송파구,3-5년,평일 저녁,친절한 지도,그룹,주 2회,0승 0패,대회 준비,실내 코트,매일,10만 원 미만
M180,31,F,부산 남구,1-3년,주말 저녁,엄격한 피드백,온라인,월 1회 미만,3승 2패,체력 증진,야외 코트,주 1회 미만,30만 원 이상
M181,21,F,대전 서구,0-1년,주말 오전,동기부여 중심,그룹,주 1회,3승 3패,체력 증진,실내 코트,매일,30만 원 이상
M182,22,F,부산 남구,0-1년,평일 저녁,미입력,그룹,주 1회,,대회 준비,접근성,주 1회 미만,10-30만 원
M183,28,M,경기 성남시,1-3년,주말 오전,미입력,온라인,주 2회,3승 2패,취미 유지,시설 완비,주 1-2회,30만 원 이상
M184,26,F,서울 강남구,1-3년,평일 오후,친절한 지도,온라인,주 2회,0승 3패,대회 준비,시설 완비,미사용,30만 원 이상
M185,42,M,대전 유성구,3-5년,평일 오후,친절한 지도,그룹,주 1회,,대회 준비,접근성,주 1회 미만,10-30만 원
M186,33,M,대전 서구,1-3년,평일 저녁,동기부여 중심,온라인,월 2-3회,,대회 준비,야외 코트,주 1회 미만,10-30만 원
M187,44,F,대구 수성구,3-5년,평일 오전,동기부여 중심,온라인,월 1회 미만,2승 3패,실력 향상,야외 코트,매일,30만 원 이상
M188,24,F,서울 강남구,5년 이상,평일 오후,엄격한 피드백,그룹,주 2회,0승 0패,체력 증진,미입력,매일,10-30만 원
M189,21,F,서울 송파구,3-5년,주말 오전,친절한 지도,온라인,월 1회 미만,2승 2패,대회 준비,시설 완비,주 1-2회,10만 원 미만
M190,21,M,경기 용인시,0-1년,주말 저녁,친절한 지도,1:1,월 2-3회,3승 2패,취미 유지,접근성,미사용,30만 원 이상
